Title,Skill Level,Yarn Weight,Fiber Type,Yardage,Category,Hook Size,Pattern Link
Note Tote,Intermediate,Worsted,Cotton,480,,H/5.0mm crochet hook,https://www.crochet.com/note-tote/p/18871D
November Dish Towel,Intermediate,Worsted,Cotton,382,Crochet,H/5.0mm crochet hook,https://www.crochet.com/november-dish-towel/p/18049D
November Toque,Beginner,"DK, Aran/Heavy Worsted",Alpaca,265-303,,G/4.0mm crochet hook,https://www.crochet.com/november-toque/p/15775D
Nutmeg Cable Pillow,Intermediate,DK,Alpaca,770,,H/5.0mm crochet hook,https://www.crochet.com/nutmeg-cable-pillow/p/18730D
Nutmeg Crochet Pillow,Beginner,Bulky,Wool,240,,L/8.0mm crochet hook,https://www.crochet.com/nutmeg-crochet-pillow/p/18713D
Obelisk Pullover,Intermediate,Worsted,,1381-2520,Crochet,H/5.0mm crochet hook,https://www.crochet.com/obelisk-pullover/p/N2059
Obelisk Scarf,Intermediate,Worsted,,830,Crochet,H/5.0mm crochet hook,https://www.crochet.com/obelisk-scarf/p/N2334
Ocean Breeze Basket Set,Intermediate,Worsted,Wool,330-440,,G/6 (4.0mm) & H/8 (5.0mm) crochet hook,https://www.crochet.com/ocean-breeze-basket-set/p/55069
Ocean Breeze Sweater,Beginner,Worsted,Cotton,778-7186,Crochet,H/5.0mm crochet hook,https://www.crochet.com/ocean-breeze-sweater/p/18398D
Octopus Crossbody Bag,Intermediate,Worsted,Acrylic,440,,"E/3.5mm crochet hook, G/4.00mm crochet hook, H/5.0mm crochet hook",https://www.crochet.com/octopus-crossbody-bag/p/18934D
Octopus Scarf,Intermediate,Worsted,Acrylic,1002,,Size G/6 (4mm): hoook,https://www.crochet.com/octopus-scarf/p/17778D
Oh Deer,Intermediate,Worsted,Wool,176-192,,"H/5.0mm crochet hook, J/6.00mm crochet hook",https://www.crochet.com/oh-deer/p/18290D
Oliver Vest,Intermediate,DK,Wool,369-1845,,J/10 (6mm) Crochet hook  &  L/11 (8mm) Tunisian crochet hook with cable,https://www.crochet.com/oliver-vest/p/55016D
Ombre Infinity Scarf -Tunisian Crochet,Intermediate,Fingering,Wool,1433,,I/5.5mm crochet hook and J/6.0mm Tunisian crochet hook,https://www.crochet.com/ombre-infinity-scarf-tunisian-crochet/p/13193D
On-Point Pillow,Intermediate,"Aran/Heavy Worsted, Bulky, Worsted",Wool,579,,K/6.5mm crochet hook,https://www.crochet.com/on-point-pillow/p/18707D
On The Bias Suzette Shawl,Intermediate,Fingering,Wool,895,Crochet,7.0mm crochet hook,https://www.crochet.com/on-the-bias-suzette-shawl/p/15957D
Ophelia Cardigan,Intermediate,Bulky,,1459-2876,Crochet,M/N/9.0mm crochet hook,https://www.crochet.com/ophelia-cardigan/p/N2329
Opposites Attract Kerchief,Intermediate,"Bulky, Worsted",Acrylic,492,,I /5.5 mm crochet hook,https://www.crochet.com/opposites-attract-kerchief/p/18791D
Owl Wing Wrap,Intermediate,Fingering,Wool,1330,,F/3.75mm crochet hook,https://www.crochet.com/owl-wing-wrap/p/18175D
Paper Garland Stocking,Intermediate,Sport,Wool,685,,Size J/10 (6mm) Crochet hook,https://www.crochet.com/paper-garland-stocking/p/54093D
Parkhaven Pillow,Beginner,"Bulky, Aran/Heavy Worsted",Wool,963,,K/6.5mm crochet hook,https://www.crochet.com/parkhaven-pillow/p/18731D
Parlor Pocket Shawl,Intermediate,DK,Wool,1107,,Sizes I/9 (5.5mm) & J/10 (6.0mm) Crochet hook,https://www.crochet.com/parlor-pocket-shawl/p/58257
Party Cardi,Beginner,Bulky,Alpaca,660-1560,,7.0mm crochet hook,https://www.crochet.com/party-cardi/p/12353D
Pathway Afghan,Intermediate,"Bulky, Worsted",Wool,4620,,H/5.0mm crochet hook,https://www.crochet.com/pathway-afghan/p/54060D
Paulie Pumpkin,Intermediate,Worsted,Acrylic,30,,E/3.5mm crochet hook,https://www.crochet.com/paulie-pumpkin/p/15577D
Peaceful Bunny,Intermediate,"Sport, DK",Acrylic,50,,C/2.75mm crochet hook,https://www.crochet.com/peaceful-bunny/p/18747D
Peaceful Plaid Cowl,Intermediate,Worsted,Acrylic,1090,,Size G/6 (4.00mm) Crochet hook,https://www.crochet.com/peaceful-plaid-cowl/p/58252
Pearls of the Sea Clutch,Intermediate,DK,Cotton,419,,G/4.0mm crochet hook,https://www.crochet.com/pearls-of-the-sea-clutch/p/13476D
Pebble Puff Stitch Hat,Intermediate,Worsted,Acrylic,90-260,,H/5.0mm crochet hook,https://www.crochet.com/pebble-puff-stitch-hat/p/15602D
Pelargonium Motif Shawl,Intermediate,DK,Alpaca,1968,,7/4.5mm crochet hook,https://www.crochet.com/pelargonium-motif-shawl/p/15890D
Penny Tile Table Runner,Intermediate,Worsted,Cotton,2090,,Size H/8 (5.0mm) Crochet hook,https://www.crochet.com/penny-tile-table-runner/p/54031D
Peppermint the Polar Bear,Intermediate,"Bulky, Super Bulky",,365,,"F/3.75mm, M/8mm crochet hooks",https://www.crochet.com/peppermint-the-polar-bear/p/18177D
Perfect Produce Mesh Bag,Intermediate,"Worsted, Bulky",Cotton,578,,Sizes H/8 (5.0mm) & 7.0mm Crochet hook,https://www.crochet.com/perfect-produce-mesh-bag/p/54029D
Personal Pouch,Intermediate,Lace,Cotton,51,,Size C/2 (2.75mm) hook,https://www.crochet.com/personal-pouch/p/17771D
Picnic Day Top,Intermediate,Sport,Wool,635-1530,,G/4.0mm crochet hook,https://www.crochet.com/picnic-day-top/p/15721D
Picot Me Up Ear Warmer and Cowl Set,Intermediate,Worsted,Wool,86-202,Crochet,H/5.0mm crochet hook,https://www.crochet.com/picot-me-up-ear-warmer-and-cowl-set/p/17981D
Pilson Blanket,Intermediate,Worsted,Wool,1290,,J/6.0mm and K/6.5mm crochet hooks,https://www.crochet.com/pilson-blanket/p/17957D
Pine Fair Isle Sweater,Intermediate,Worsted,Wool,1210-2530,,H/5.0mm crochet hook,https://www.crochet.com/pine-fair-isle-sweater/p/18509D
Pineapple Market Tote,Intermediate,DK,Cotton,368,,Size G/6 (4.00mm): hook,https://www.crochet.com/pineapple-market-tote/p/17859D
Pizzelle Cardigan,Intermediate,Worsted,Wool,1664-4992,,"J/6.0mm, I/5.5mm, G+/4.0mm crochet hook",https://www.crochet.com/pizzelle-cardigan/p/18003D
Placid Shawl,Intermediate,Fingering,Wool,1320,,US C/2 (2.75mm) Crochet Hook,https://www.crochet.com/placid-shawl/p/58031
Plaid Ornament,Intermediate,Fingering,Wool,924,,Size D/3 (3.25mm) Crochet hook,https://www.crochet.com/plaid-ornament/p/58249
Playground Hoodie,Intermediate,Worsted,Wool,872-1744,,G/6 (4.0mm) &  I/9 (5.5mm) crochet hook,https://www.crochet.com/playground-hoodie/p/56338
Plumbago Sweater,Intermediate,Fingering,Wool,1120-2240,,E/3.5mm crochet hook,https://www.crochet.com/plumbago-sweater/p/18831D
Plume Poncho,Intermediate,Bulky,Wool,685-1233,,,https://www.crochet.com/plume-poncho/p/58297
Plush & Posh Pillow & Blanket Set,Beginner,Super Bulky,Wool,264-880,,15.0mm crochet hook,https://www.crochet.com/plush-posh-pillow-blanket-set/p/18576D
Polar Bear Crochet Tree Ornament,Beginner,Super Bulky,,16,,I /5.5 mm crochet hook,https://www.crochet.com/polar-bear-crochet-tree-ornament/p/18091D
Polar Bear Washcloth,Intermediate,"DK, Worsted",Cotton,233,,Size D/3 (3.25mm): hook,https://www.crochet.com/polar-bear-washcloth/p/17792D
Polka Dot Ear Warmer,Intermediate,Worsted,Wool,220,,US G/6 (4.25mm) Crochet Hook,https://www.crochet.com/polka-dot-ear-warmer/p/58035
Popcorn Throw,Intermediate,Worsted,Cotton,3280,,US G/6 (4.25mm) Crochet Hook,https://www.crochet.com/popcorn-throw/p/58024
Poppy Hat,Intermediate,DK,Alpaca,123-369,,E/4 (3.5mm) & G/6 (4.00mm) Crochet hook,https://www.crochet.com/poppy-hat/p/55024D
Posh Plaid Pullover,Intermediate,"Sport, DK",Wool,70-2102,Crochet,F/3.75mm crochet hook,https://www.crochet.com/posh-plaid-pullover/p/18880D
Posie Onesie,Intermediate,Worsted,Acrylic,200,Crochet,Size G-6 (4.25 mm),https://www.crochet.com/posie-onesie/p/18676D
Pretty Pines Throw Pillow,Intermediate,Worsted,Wool,510,,I/5.5mm crochet hook,https://www.crochet.com/pretty-pines-throw-pillow/p/15588D
Prismatic Cardigan,Intermediate,Worsted,Wool,1417-2780,,J/6.0mm crochet hook,https://www.crochet.com/prismatic-cardigan/p/15782D
Provence Cable Hat,Intermediate,DK,Alpaca,123,,F/3.75mm crochet hook,https://www.crochet.com/provence-cable-hat/p/15698D
Puff Pillow,Intermediate,"Aran/Heavy Worsted, Bulky",Wool,579,,K/6.5mm crochet hook,https://www.crochet.com/puff-pillow/p/18724D
Puff Stitch Bag Holder,Intermediate,Sport,Cotton,220,,G/4.0mm crochet hook,https://www.crochet.com/puff-stitch-bag-holder/p/15599D
Pumpkin Mug Rug,Intermediate,Worsted,Acrylic,120,,G/4.0mm crochet hook,https://www.crochet.com/pumpkin-mug-rug/p/17989D
Pumpkin Pie Headband,Intermediate,Bulky,,137,Crochet,US L/11 (8.0mm) & US M/13 (9.0mm) Tunisian crochet hook,https://www.crochet.com/pumpkin-pie-headband/p/58293
Pumpkin Spice Turtleneck,Intermediate,"Worsted, Aran/Heavy Worsted",Cotton,880-1995,,I/5.5mm crochet hook,https://www.crochet.com/pumpkin-spice-turtleneck/p/18910D
Quick & Easy Crochet Beard,Intermediate,"Worsted, Super Bulky",,14-27,,I/5.5mm crochet hook,https://www.crochet.com/quick-easy-crochet-beard/p/15606D
Quick Cozy Throw,Beginner,Jumbo,,234,Crochet,"Circular knitting needle size US 19 (15 mm),",https://www.crochet.com/quick-cozy-throw/p/N3749
Quinn Filet Crochet Blanket,Intermediate,Worsted,Wool,1500,,H/5.0mm crochet hook,https://www.crochet.com/quinn-filet-crochet-blanket/p/15777D
RBeadG Sweater,Intermediate,Fingering,Wool,1150-2650,,D/3.25mm crochet hook,https://www.crochet.com/rbeadg-sweater/p/18813D
Racer Wrap,Intermediate,Bulky,Wool,685,,Size N/P (10mm): hook,https://www.crochet.com/racer-wrap/p/58221
Rainbow Around My Shoulder Purse,Intermediate,Worsted,Acrylic,271,Crochet,H/5.0mm crochet hook,https://www.crochet.com/rainbow-around-my-shoulder-purse/p/15986D
Rainbow Garden Throw,Intermediate,Worsted,Cotton,2616,,US I/9 (5.50 mm) Crochet Hook: US H/8 (5.00 mm) Crochet Hook for assembly,https://www.crochet.com/rainbow-garden-throw/p/58014
Rainbow Sherbet Blanket,Intermediate,"Aran/Heavy Worsted, Worsted",Cotton,950,,H/5.0mm crochet hook,https://www.crochet.com/rainbow-sherbet-blanket/p/15611D
Rainbow Wall Hanging,Intermediate,Worsted,Acrylic,1090,,H/5.0mm crochet hook,https://www.crochet.com/rainbow-wall-hanging/p/17961D
Raindrop Back Scrubber,Intermediate,"Worsted, DK",Cotton,369,,E/4 (3.5mm) crochet hook,https://www.crochet.com/raindrop-back-scrubber/p/55073
Raindrop Ruana,Intermediate,Sport,Cotton,880-1320,,H/5.0mm crochet hook,https://www.crochet.com/raindrop-ruana/p/18686D
Rebel Cowl,Intermediate,Worsted,Wool,360,,H/5.0mm crochet hook,https://www.crochet.com/rebel-cowl/p/17791D
Rebel Scarf,Intermediate,Worsted,Wool,1521,,J/6.00mm crochet hook,https://www.crochet.com/rebel-scarf/p/18609D
Rectangle Pillow,Beginner,Super Bulky,Acrylic,444,Crochet,Crochet hook size L-11 (8 mm),https://www.crochet.com/rectangle-pillow/p/N3746
Red Christmas Truck Table Runner,Beginner,Worsted,Acrylic,1308,,H/5.0mm crochet hook,https://www.crochet.com/red-christmas-truck-table-runner/p/18113D
Red Dawn Tank,Intermediate,Fingering,Wool,660-1320,,"G/4.0mm Tunisian crochet hook, H/5.0mm Tunisian crochet hook",https://www.crochet.com/red-dawn-tank/p/54016D
Reef Kimono,Intermediate,Bulky,Cotton,840-2160,,J/6.00mm crochet hook,https://www.crochet.com/reef-kimono/p/18854D
Remi Raglan Sweater,Intermediate,Sport,Acrylic,1050-2400,,H/8 5.0mm crochet hook,https://www.crochet.com/remi-raglan-sweater/p/17750D
Restore Face Scrubby Set,Intermediate,Worsted,Cotton,190-380,,E/4 (3.5mm) &  G/6 (4.0mm) crochet hook,https://www.crochet.com/restore-face-scrubby-set/p/55074
Retro 70s Flower Bag,Intermediate,Worsted,Acrylic,136,,G/4.0mm crochet hook,https://www.crochet.com/retro-70s-flower-bag/p/18798D
Reversible Billow Pullover,Intermediate,Bulky,Cotton,640-1140,,K/6.5mm crochet hook,https://www.crochet.com/reversible-billow-pullover/p/18932D
Reversible Billow Top,Intermediate,Bulky,Cotton,400-800,,K/6.5mm crochet hook,https://www.crochet.com/reversible-billow-top/p/18904D
Reversible Brava Top,Intermediate,Sport,Acrylic,290-520,,E/3.5mm crochet hook,https://www.crochet.com/reversible-brava-top/p/18898D
Rhythm Dishcloth,Intermediate,Worsted,Cotton,300,,7/4.5mm crochet hook,https://www.crochet.com/rhythm-dishcloth/p/18892D
Richmond Shawl,Intermediate,Fingering,Wool,693,Crochet,H/5.0mm crochet hook,https://www.crochet.com/richmond-shawl/p/18485D
Rilla Pillow,Beginner,"Aran/Heavy Worsted, Worsted",Cotton,1200,,I/5.5mm crochet hook,https://www.crochet.com/rilla-pillow/p/15613D
River Stone Coatigin,Intermediate,Worsted,,3504-5694,Crochet,G/4.0mm and 7/4.5mm crochet hooks,https://www.crochet.com/river-stone-coatigin/p/N2331
Riviera Tee,Intermediate,Sport,Wool,825-1600,,G/4.0mm crochet hook,https://www.crochet.com/riviera-tee/p/18057D
Rocky Ridge Hat,Intermediate,Worsted,,115-250,Crochet,7/4.5mm and I/5.5mm crochet hooks,https://www.crochet.com/rocky-ridge-hat/p/N2333
Rose Fitted Cowl,Intermediate,Worsted,,275,Crochet,H/5.0mm crochet hook,https://www.crochet.com/rose-fitted-cowl/p/N2317
Rose Garden Cardigan,Beginner,Sport,Wool,984-1640,,G/6 (4mm) crochet hook,https://www.crochet.com/rose-garden-cardigan/p/56331
Rose Tote,Intermediate,"Fingering, Lace",Cotton,590,,E/3.5mm crochet hook,https://www.crochet.com/rose-tote/p/18752D
Round Seat Cushion,Beginner,Jumbo,,26,Crochet,Crochet hook size U-50 (25 mm)),https://www.crochet.com/round-seat-cushion/p/N3750
Round Yoke Sweater,Intermediate,Sport,Alpaca,1017-1660,,H/5.0mm crochet hook,https://www.crochet.com/round-yoke-sweater/p/15781D
Rustic Fur Easy Crochet Slippers,Beginner,Super Bulky,,34-143,,I /5.5 mm crochet hook,https://www.crochet.com/rustic-fur-easy-crochet-slippers/p/18101D
Rylan Cable Cowl,Intermediate,DK,Wool,440-880,,H/5.0mm crochet hook,https://www.crochet.com/rylan-cable-cowl/p/15891D
Sablé Chunky Throw,Intermediate,Bulky,Wool,90-10145,,M/9mm crochet hook,https://www.crochet.com/sable-chunky-throw/p/18402D
Sagebrush Tank Top,Intermediate,DK,Cotton,382-948,,7/4.5mm crochet hook,https://www.crochet.com/sagebrush-tank-top/p/18401D
Salt Water Cowl,Intermediate,DK,Alpaca,345,Crochet,I/5.5mm crochet hook,https://www.crochet.com/salt-water-cowl/p/18025D
Samir Cardigan,Intermediate,Worsted,Wool,654-2834,,H/8 (5.0mm) & I/9 (5.5mm) Crochet hook,https://www.crochet.com/samir-cardigan/p/55021D
Sashay Asymmetrical Shawl,Intermediate,DK,Cotton,984,,G/4.0mm crochet hook,https://www.crochet.com/sashay-asymmetrical-shawl/p/18769D
Sassafras Cardigan,Intermediate,"Bulky, Aran/Heavy Worsted, Lace",Wool,1838-3042,,US K/10.5 (6.5mm) Crochet hook,https://www.crochet.com/sassafras-cardigan/p/55051D
Savvy Muse Beanie,Beginner,"Aran/Heavy Worsted, Worsted",Wool,110,,J/6.00mm crochet hook,https://www.crochet.com/savvy-muse-beanie/p/18836D
Savvy Muse Cowl,Beginner,"Aran/Heavy Worsted, Worsted",Wool,110,,J/6.00mm crochet hook,https://www.crochet.com/savvy-muse-cowl/p/18838D
Saxon Wrap,Beginner,"Fingering, Worsted",Wool,1100,,I/5.5mm crochet hook,https://www.crochet.com/saxon-wrap/p/18835D
Scandi Cowl,Intermediate,DK,Alpaca,738,Crochet,Size D/3 (3.25mm) Crochet Hook,https://www.crochet.com/scandi-cowl/p/58100
Sea Glass Towel & Washcloth,Intermediate,Worsted,Cotton,166-847,,7/4.5mm crochet hook,https://www.crochet.com/sea-glass-towel-washcloth/p/18896D
Sebago Hat & Cowl,Beginner,Super Bulky,Wool,140,,US P/Q (15.00mm) Crochet Hook,https://www.crochet.com/sebago-hat-cowl/p/58020
Seed Stitch Stripes Baby Blanket,Beginner,Bulky,Cotton,136-2200,,9.0mm crochet hook,https://www.crochet.com/seed-stitch-stripes-baby-blanket/p/18825D
Selene Cardigan,Intermediate,Fingering,Cotton,1148-2479,,G/4.0mm crochet hook,https://www.crochet.com/selene-cardigan/p/15759D
Sera Cardigan,Intermediate,DK,Wool,1000-2091,,H/5.0mm crochet hook,https://www.crochet.com/sera-cardigan/p/18882D
Serpentine Dishcloth,Beginner,Worsted,Cotton,380,Crochet,US F-5 (3.75mm) Crochet hook,https://www.crochet.com/serpentine-dishcloth/p/55068D
Shanti Neckwarmer,Intermediate,"Worsted, Aran/Heavy Worsted",,350-600,,"E/3.5, G/4.0mm, H/5.0mm, and I/5.5mm crochet hooks",https://www.crochet.com/shanti-neckwarmer/p/N16091D
Shanti Pocket Shawl,Intermediate,Worsted,Wool,700-1500,,"US H/5mm crochet hook, US K/6.5mm crochet hook, 7.0mm crochet hook",https://www.crochet.com/shanti-pocket-shawl/p/18611D
She Sells Seashells Blanket,Beginner,Worsted,Wool,1744-5892,,J-10 (6 mm) crochet hook,https://www.crochet.com/she-sells-seashells-blanket/p/56336
Shiloh Cardigan,Intermediate,Fingering,Wool,850-2070,,F/3.75mm crochet hook,https://www.crochet.com/shiloh-cardigan/p/18761D
Shine Like A Diamond Crochet Tank Top,Intermediate,Fingering,Cotton,540-1300,,C/2.75mm crochet hook,https://www.crochet.com/shine-like-a-diamond-crochet-tank-top/p/18893D
Shroom For Everyone Wall Hanging,Intermediate,Worsted,Acrylic,170,,G/4.0mm crochet hook,https://www.crochet.com/shroom-for-everyone-wall-hanging/p/15903D
Sienna Crop Top,Intermediate,DK,Cotton,374-746,Crochet,G/4.0mm crochet hook,https://www.crochet.com/sienna-crop-top/p/16016D
Siesta Sweater,Intermediate,Sport,Acrylic,950-1774,,H/8 5.0mm crochet hook,https://www.crochet.com/siesta-sweater/p/17748D
Simmer Dim Scarf Pattern,Intermediate,Lace,Cotton,590,,U.S. size E/4 (3.5 mm) crochet hook; U.S. size 19 (15 mm) knitting needle,https://www.crochet.com/simmer-dim-scarf-pattern/p/58083
Simone Tank,Intermediate,DK,Cotton,520-1260,,G/4.0mm crochet hook,https://www.crochet.com/simone-tank/p/18710D
Simple & Best Socks,Intermediate,Fingering,Wool,462-924,,E/3.5mm crochet hook,https://www.crochet.com/simple-best-socks/p/18618D
Simple Shells Beanie,,DK,,123,Crochet,H/5.0mm crochet hook,https://www.crochet.com/simple-shells-beanie/p/55701
Simplicitea Heart Mug Cozy,Intermediate,Worsted,Cotton,65,,Size G/6 (4mm): hook,https://www.crochet.com/simplicitea-heart-mug-cozy/p/17789D
Simply Slouchy Beanie,Intermediate,Worsted,Wool,198,,H/5.0mm crochet hook,https://www.crochet.com/simply-slouchy-beanie/p/17808D
Single Arrow Cowl,Intermediate,"Worsted, Aran/Heavy Worsted",Wool,230,,L/7.0mm crochet hook,https://www.crochet.com/single-arrow-cowl/p/18082D
Skara Brae Cable Blanket,Intermediate,Worsted,Wool,4599,,I/5.5mm crochet hook,https://www.crochet.com/skara-brae-cable-blanket/p/18043D
Slate Wrap,Intermediate,Bulky,Alpaca,1000-1370,,Size H/8 (5mm): hook,https://www.crochet.com/slate-wrap/p/17787D
Sleepy Bear Hat,Intermediate,"Fingering, Sport",Cotton,160-1530,,E/3.5mm crochet hook,https://www.crochet.com/sleepy-bear-hat/p/15909D
Sliding Doors Throw Pillow,Intermediate,Bulky,Wool,548,,Size K/10.5 (6.5mm): hook,https://www.crochet.com/sliding-doors-throw-pillow/p/58222
Slip Knot Headband,Beginner,DK,Wool,246,,Size US J/10 (6mm) Tunisian crochet hook,https://www.crochet.com/slip-knot-headband/p/58282
Slippers From A Square,Beginner,Bulky,Cotton,120,,H/5.0mm crochet hook,https://www.crochet.com/slippers-from-a-square/p/18681D
Sloth Phone Pouch,Intermediate,Worsted,Acrylic,62,,"I/5.5mm, G+/4.0mm crochet hook",https://www.crochet.com/sloth-phone-pouch/p/18018D
Slouchy Bear Beanie,Intermediate,Worsted,Acrylic,218,,H/5.0mm crochet hook,https://www.crochet.com/slouchy-bear-beanie/p/18683D
Slouchy Flower Beret,Intermediate,Worsted,Wool,110,,H/5.0mm crochet hook,https://www.crochet.com/slouchy-flower-beret/p/18050D
Slouchy Spring Beret,Intermediate,DK,Wool,220,,G/4.0mm crochet hook,https://www.crochet.com/slouchy-spring-beret/p/18678D
Snow Day Throw,Intermediate,"Worsted, Sport",Wool,2450,Crochet,H/5.0mm crochet hook,https://www.crochet.com/snow-day-throw/p/15892D
Snow Mountain Hat,Intermediate,Fingering,Wool,924,,US G/6 (4.25mm) Crochet Hook,https://www.crochet.com/snow-mountain-hat/p/58022
Snowball Mittens,Intermediate,Super Bulky,,109,Crochet,US P/16 (12mm) Crochet hook,https://www.crochet.com/snowball-mittens/p/55142D
Snowberry Cables Afghan,Intermediate,Worsted,Acrylic,3488,,J/6.0mm crochet hook,https://www.crochet.com/snowberry-cables-afghan/p/13298D
Snowdrops Cardigan,Intermediate,Bulky,Cotton,1200-1990,,"I/5.5mm crochet hook, K/6.5mm crochet hook",https://www.crochet.com/snowdrops-cardigan/p/18677D
Snowella Crochet Snowman Hat,Intermediate,Worsted,Acrylic,74-189,,J/5.5 mm and G+/3.5 mm crochet hook,https://www.crochet.com/snowella-crochet-snowman-hat/p/17983D
Snowflake Hexagon Mosaic Crochet Blanket,Intermediate,Worsted,Acrylic,3700,,I/5.5mm crochet hook,https://www.crochet.com/snowflake-hexagon-mosaic-crochet-blanket/p/15884D
Snowflake Scarf,Intermediate,Super Bulky,Wool,260,Crochet,US Q (16.0mm) Crochet hook,https://www.crochet.com/snowflake-scarf/p/55145D
Snowflake Tapestry Pouch,Intermediate,Worsted,Wool,406,,,https://www.crochet.com/snowflake-tapestry-pouch/p/17793D
Snuggle Puff Tassel Throw,Intermediate,"Worsted, Aran/Heavy Worsted",Cotton,2900,,J/6.0mm crochet hook,https://www.crochet.com/snuggle-puff-tassel-throw/p/15701D
Soft Serve Cabled Beanie,Intermediate,Worsted,Acrylic,218-436,,H/5.0mm crochet hook,https://www.crochet.com/soft-serve-cabled-beanie/p/56290
Soft Squares Baby Blanket,Beginner,Bulky,Cotton,720,,H/5.0mm crochet hook,https://www.crochet.com/soft-squares-baby-blanket/p/14007D
Soho Beanie,Beginner,Worsted,Wool,100-195,,I/5.5mm crochet hook,https://www.crochet.com/soho-beanie/p/18722D
Solar System Garland,Intermediate,Worsted,Cotton,450,,D/3.25mm crochet hook,https://www.crochet.com/solar-system-garland/p/54034D
Solig Sunflower Shawl,Intermediate,DK,Alpaca,1452,,7/4.5mm crochet hook,https://www.crochet.com/solig-sunflower-shawl/p/18938D
Sonoran Sunburst Granny Square Blanket,Intermediate,Worsted,Acrylic,3689,,H/5.0mm crochet hook,https://www.crochet.com/sonoran-sunburst-granny-square-blanket/p/18134D
Sophie Bag,Intermediate,Worsted,Cotton,950,,US size G/6 (4mm) Crochet hook and US size J/10 (6mm) double ended Tunisian hook,https://www.crochet.com/sophie-bag/p/55122D
Sow Pretty Twist Top,Intermediate,DK,,1375-2500,Crochet,7/4.5mm and H/5.0mm crochet hooks,https://www.crochet.com/sow-pretty-twist-top/p/N2318
Space Landscape Wall Hanging,Intermediate,Worsted,Cotton,1520,,3 mm crochet hook,https://www.crochet.com/space-landscape-wall-hanging/p/18026D
Spaceship Pillow,Intermediate,"Worsted, DK",,2366,Crochet,E/3.5mm crochet hook,https://www.crochet.com/spaceship-pillow/p/N2310
Sparkles the Unicorn Softie Pattern,Intermediate,Worsted,Acrylic,1526,,U.S. D/3 (3.25 mm) crochet hook,https://www.crochet.com/sparkles-the-unicorn-softie-pattern/p/58090
Sparkling Cold Shoulder,Intermediate,Fingering,Wool,1350-2780,Crochet,D/3.25mm crochet hook,https://www.crochet.com/sparkling-cold-shoulder/p/18815D
Spectacular Case,Intermediate,Worsted,Acrylic,150,,D/3.25mm crochet hook,https://www.crochet.com/spectacular-case/p/18783D
Spectral Tunisian Crochet Pillow,Intermediate,Worsted,,760,Crochet,US I/9 (5.5mm) double ended Tunisian Crochet hook,https://www.crochet.com/spectral-tunisian-crochet-pillow/p/55138D
Spice Drop Stocking,Intermediate,Worsted,Acrylic,654,,Size  J/10 (6mm) Crochet hook,https://www.crochet.com/spice-drop-stocking/p/54095D
Spicy Sweater,Intermediate,DK,Wool,1140-2805,,G/4.0mm crochet hook,https://www.crochet.com/spicy-sweater/p/15768D
Spike Tears Hat,Intermediate,Worsted,Acrylic,270,,7/4.5mm crochet hook,https://www.crochet.com/spike-tears-hat/p/17799D
Spike Tears Mittens,Intermediate,Worsted,Acrylic,220,,7/4.5mm crochet hook,https://www.crochet.com/spike-tears-mittens/p/17801D
Spike Tears Scarf,Intermediate,Worsted,Acrylic,654,,7/4.5mm crochet hook,https://www.crochet.com/spike-tears-scarf/p/17800D
Spiral Tunisian Cowl,Intermediate,Worsted,Wool,220,,US J/10 (6.00mm) double-ended Tunisian Crochet Hook,https://www.crochet.com/spiral-tunisian-cowl/p/58009
Spofforth Sweater,Intermediate,Worsted,Wool,1050-2545,,J/6.0mm crochet hook,https://www.crochet.com/spofforth-sweater/p/15748D
Spooky Brigade Toys,Intermediate,"Worsted, Super Bulky, Aran/Heavy Worsted",Cotton,40-45,,"C/2.75mm , E/3.5mm, H/5.0mm, L/8.0mm crochet hooks",https://www.crochet.com/spooky-brigade-toys/p/15050D
Spooky Pillow,Beginner,Worsted,Acrylic,843,,H/5.0mm crochet hook,https://www.crochet.com/spooky-pillow/p/18109D
Spring,Intermediate,DK,Wool,399,,H/5.0mm crochet hook,https://www.crochet.com/spring/p/18196D
Spring Butterfly Pillow,Intermediate,Worsted,Cotton,406,,G/4.0mm crochet hook,https://www.crochet.com/spring-butterfly-pillow/p/15924D
Spring Meadow Hat and Cowl,Intermediate,Bulky,Cotton,120-240,,J/6.00mm crochet hook,https://www.crochet.com/spring-meadow-hat-and-cowl/p/18704D
Squared Away Crochet Throw,Intermediate,Worsted,Cotton,3052,,H/5.0mm crochet hook,https://www.crochet.com/squared-away-crochet-throw/p/12883D
Squares + Stripes Blanket,Intermediate,Worsted,Wool,3960,Crochet,US I/9 (5.5mm) or size to obtain gauge.,https://www.crochet.com/squares-stripes-blanket/p/51377D
Star Keychain,Intermediate,Worsted,,71,Crochet,G/4.25mm crochet hook,https://www.crochet.com/star-keychain/p/N2312
Stardust Bow Headband,Beginner,Sport,Wool,328,,F/5 (3.75mm)  crochet hook,https://www.crochet.com/stardust-bow-headband/p/56334
Stargazer Throw,Intermediate,Bulky,Wool,137-1096,Crochet,Size N/P/15 (10mm) Crochet hook,https://www.crochet.com/stargazer-throw/p/18675D
Starry Splendor Blanket,Intermediate,Bulky,Cotton,1800,,US N/9 (9mm): crochet hook,https://www.crochet.com/starry-splendor-blanket/p/51375D
Static Sweater,Intermediate,Fingering,Wool,1386-2594,,E/3.5mm crochet hook,https://www.crochet.com/static-sweater/p/18816D
