Title,Skill Level,Yarn Brand,Yarn Name,Yarn Weight,Hook Size,Stitches,Color,Category,Pattern Link
Simple Striped Crochet Blanket Pattern,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Single Crochet",Blue,Blue,https://easycrochet.com/simple-striped-crochet-blanket-pattern/
Blooming Flower Crochet Square Pattern,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Half Double Crochet , Single Crochet , Triple Crochet",Blue,Blue,https://easycrochet.com/blooming-flower-crochet-square-pattern/
Free Crochet Pineapple Pattern,2. Easy,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,5 mm (H-8),"Half Double Crochet , Single Crochet",Yellow,Yellow,https://easycrochet.com/free-crochet-pattern-pineapple-applique/
Free Crochet Doily Pattern & Video Tutorial,3. Intermediate,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,5 mm (H-8),"Half Double Crochet , Single Crochet","Neutral , White",Neutral,https://easycrochet.com/free-crochet-doily-pattern/
Free Simple Crochet Blanket Pattern,3. Intermediate,Loops and Threads,Impeccable,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Shell Stitch",Pink,Pink,https://easycrochet.com/simple-striped-crochet-blanket-pattern-the-elise/
Crochet Doily Pattern,3. Intermediate,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Half Double Crochet","Neutral , White",Neutral,https://easycrochet.com/free-mandala-crochet-pattern/
Easy & Free Rosette Flower Crochet Pattern,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,"5.5 mm (I-9) , 6 mm (J-10)","Double Crochet , Single Crochet","Brown , Pink",Brown,https://easycrochet.com/double-layer-rosette-flower-crochet-pattern/
Primrose Crochet Stitch Tutorial,3. Intermediate,Hobby Lobby,I Love This Yarn,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Half Double Crochet , Single Crochet",Pink,Pink,https://easycrochet.com/crochet-primrose-stitch-tutorial/
Crochet Flower Pattern Blooming Spring Flower,2. Easy,"Lion Brand , Red Heart","Baby Soft , Red Heart Soft",Weight 4 - Medium,6 mm (J-10),"Bobble , Single Crochet",Blue,Blue,https://easycrochet.com/crochet-flower-pattern-blooming-spring-flower/
Free Crochet Newborn Hat Pattern,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),"Bobble , Double Crochet",Pink,Pink,https://easycrochet.com/newborn-hat-crochet-pattern/
Crochet Pattern Wavy Ways Blanket,2. Easy,Bernat,Satin,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Single Crochet","Gray , Red , Yellow",Gray,https://easycrochet.com/crochet-pattern-wavy-ways-blanket/
Knit Like Crochet Blanket Pattern Tutorial,2. Easy,Hobby Lobby,I Love This Yarn,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,Blue,Blue,https://easycrochet.com/knit-like-crochet-blanket-pattern/
Crochet Easter Bunny Washcloth Pattern,2. Easy,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,5 mm (H-8),Half Double Crochet,Purple,Purple,https://easycrochet.com/crochet-pattern-bunny-washcloth/
Easy Crochet Beanie Pattern,3. Intermediate,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),Double Crochet,"Green , Neutral",Green,https://easycrochet.com/free-crochet-beanie-pattern/
Natural Striped Baby Blanket Crochet Pattern: 2 Sizes,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,,,Neutral,Crochet Baby Blankets The free version of this pattern comes with limited support. These links should give you the help you need. How to Read a Pattern Understanding Abbreviations Stitch Tutorials Pattern FAQs,https://easycrochet.com/crochet-pattern-natural-striped-blanket/
Crochet Square Motif Pattern,2. Easy,"Lion Brand , Red Heart","Red Heart Soft , Vanna's Choice",Weight 4 - Medium,6 mm (J-10),"Double Crochet , Single Crochet",Yellow,Yellow,https://easycrochet.com/crochet-square-motif-pattern/
Wonders Chevron Crochet Blanket Pattern,2. Easy,"Lion Brand , Loops and Threads","Impeccable , Vanna's Choice",Weight 4 - Medium,6 mm (J-10),Single Crochet,Yellow,Yellow,https://easycrochet.com/the-wonders-chevron-crochet-blanket-pattern/
Crochet Mitered Square Pattern,2. Easy,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,6 mm (J-10),Single Crochet,"Neutral , Pink",Neutral,https://easycrochet.com/crochet-mitered-square-tutorial/
Simple Puff Stitch Crochet Hat Pattern,2. Easy,Red Heart,Chic Sheep,Weight 4 - Medium,6 mm (J-10),"Puff , Single Crochet",Gray,Gray,https://easycrochet.com/crochet-puff-stitch-hat-pattern/
Crochet Puff Stitch Scarf,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),Double Crochet,Neutral,Neutral,https://easycrochet.com/criss-cross-puff-crochet-scarf-free-pattern/
Yarn Wrapped Heart Crochet Wreath – Valentine’s Day,1. Basic,Lion Brand,Vanna's Choice,Weight 4 - Medium,,,"Pink , Red",Crafts & DIY The free version of this pattern comes with limited support. These links should give you the help you need. How to Read a Pattern Understanding Abbreviations Stitch Tutorials Pattern FAQs,https://easycrochet.com/yarn-wrapped-heart/
Crochet Pizza Slice Pattern,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),Single Crochet,,Appliques,https://easycrochet.com/crochet-pizza-applique-pattern/
Color Blocked Infinity Scarf Free Crochet Pattern,2. Easy,Red Heart,Red Heart Soft,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,,Crochet Scarves,https://easycrochet.com/infinity-scarf-crochet-pattern/
Colorful Chevron Blanket Pattern,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),Single Crochet,"Green , Yellow",Green,https://easycrochet.com/colorful-chevron-blanket-pattern/
Christmas Crochet Flowers,2. Easy,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,5.5 mm (I-9),"Double Crochet , Single Crochet , Slip Stitch",Green,Green,https://easycrochet.com/christmas-crochet-flowers/
Crochet Gift Basket Pattern,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Single Crochet",Red,Red,https://easycrochet.com/crochet-gift-basket-pattern/
Simple Striped Scarf Crochet Pattern,2. Easy,Caron Yarn,,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,Gray,Crochet Infinity Scarves,https://easycrochet.com/simple-crochet-striped-scarf/
Crochet Ripple Blanket Progress,3. Intermediate,Red Heart,Red Heart Soft,Weight 4 - Medium,6 mm (J-10),Double Crochet,,Crochet Blankets,https://easycrochet.com/crochet-ripple-blanket-progress/
Crochet Criss-Cross Bobble Flower,2. Easy,Caron Yarn,Simply Soft,Weight 4 - Medium,5.5 mm (I-9),Double Crochet,,Crochet Flowers,https://easycrochet.com/crochet-criss-cross-bobble-flower/
Simple Crochet Button Hat,1. Basic,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Single Crochet",Neutral,Neutral,https://easycrochet.com/simple-crochet-button-hat/
Free Christmas Washcloth Crochet Pattern,2. Easy,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,6 mm (J-10),"Half Double Crochet , Single Crochet","Green , Neutral , Red",Green,https://easycrochet.com/christmas-washcloth-crochet-pattern/
Crochet Slouchy Pom Pom Hat,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),,Neutral,Crochet Hats,https://easycrochet.com/crochet-slouchy-pom-pom-hat/
Easy Crochet Striped Infinity Scarf Pattern,1. Basic,"Lion Brand , Red Heart","Heartland , Red Heart Soft",Weight 4 - Medium,6 mm (J-10),"Half Double Crochet , Single Crochet","Blue , Brown , White , Yellow",Blue,https://easycrochet.com/striped-crochet-scarf-pattern/
Bear Crochet Hat Pattern,2. Easy,Lion Brand,Heartland,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Single Crochet",Black,Black,https://easycrochet.com/free-bear-crochet-hat-pattern/
Easy Tunisian Crochet Scarf Pattern,2. Easy,Lion Brand,Heartland,Weight 4 - Medium,5 mm (H-8),Tunisian Simple Stitch,Orange,Orange,https://easycrochet.com/tunisian-crochet-cowl-pattern/
Crochet Headband Pattern Frozen Snowflakes,2. Easy,Lion Brand,Pound of Love,Weight 4 - Medium,5 mm (H-8),Double Crochet,Blue,Blue,https://easycrochet.com/frozen-snowflake-headband-crochet-pattern/
Mint Green Fall Crochet Cowl  Pattern,2. Easy,,,Weight 4 - Medium,6 mm (J-10),"Half Double Crochet , Single Crochet",Green,Crochet Scarves The free version of this pattern comes with limited support. These links should give you the help you need. How to Read a Pattern Understanding Abbreviations Stitch Tutorials Pattern FAQs,https://easycrochet.com/cozy-mint-green-fall-crochet-cowl-free-pattern/
Modern Ripple Crochet Car Seat Blanket Pattern,2. Easy,Loops and Threads,Impeccable,Weight 4 - Medium,6 mm (J-10),Double Crochet,"Green , Neutral , Yellow",Green,https://easycrochet.com/modern-striped-ripple-baby-blanket-crochet/
Easy Guide to the Sand Stitch in Crochet,2. Easy,,,Weight 4 - Medium,,,,Crochet,https://easycrochet.com/sand-stitch-crochet/
Free Easy Crochet Boot Cuffs Pattern,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,5.5 mm (I-9),"Puff , Single Crochet","Gray , Neutral",Gray,https://easycrochet.com/crochet-boot-cuffs-free-pattern/
Easy Round Crochet Potholder Pattern,2. Easy,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,5 mm (H-8),Double Crochet,"Green , Neutral",Green,https://easycrochet.com/crochet-round-potholder-free-pattern/
Learn the Granny Ripple Stitch,2. Easy,Loops and Threads,Impeccable,Weight 4 - Medium,,Double Crochet,,Chevron Patterns The free version of this pattern comes with limited support. These links should give you the help you need. How to Read a Pattern Understanding Abbreviations Stitch Tutorials Pattern FAQs,https://easycrochet.com/granny-ripple-crochet-pattern/
Open Lace Crochet Hat,2. Easy,Caron Yarn,Simply Soft,Weight 4 - Medium,5 mm (H-8),Double Crochet,Gray,Gray,https://easycrochet.com/open-lace-crochet-hat-free-pattern/
Crochet Button Heart Headband,2. Easy,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,6 mm (J-10),Double Crochet,Brown,Brown,https://easycrochet.com/crochet-button-heart-headband/
Heart Granny Square Crochet Pattern,2. Easy,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,,Double Crochet,,Appliques The free version of this pattern comes with limited support. These links should give you the help you need. How to Read a Pattern Understanding Abbreviations Stitch Tutorials Pattern FAQs,https://easycrochet.com/free-crochet-heart-pattern/
Simple Fall Crochet Headband Pattern,2. Easy,Caron Yarn,Simply Soft,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Single Crochet",Orange,Orange,https://easycrochet.com/fall-crochet-headband-pattern/
Crochet Mesh Button Scarf Pattern,2. Easy,,,Weight 4 - Medium,5 mm (H-8),Double Crochet,Green,Crochet Cowls The free version of this pattern comes with limited support. These links should give you the help you need. How to Read a Pattern Understanding Abbreviations Stitch Tutorials Pattern FAQs,https://easycrochet.com/crochet-mesh-button-scarf-pattern/
Gamer Beanie Crochet Pattern,2. Easy,Red Heart,Red Heart Soft,Weight 4 - Medium,5.5 mm (I-9),"Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch","Black , Green",Black,https://easycrochet.com/gamer-beanie-hat-crochet-pattern/
Crochet Flower Beanie Hat,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,5.5 mm (I-9),,Pink,Crochet Flowers,https://easycrochet.com/crochet-flower-beanie-hat/
Easy and Quick Crochet Mesh Stitch Pattern,2. Easy,Lion Brand,Skein Tones,Weight 4 - Medium,4.5 mm (7),,,Crochet,https://easycrochet.com/learn-to-crochet-the-mesh-stitch/
Basic and Simple Crochet Flower Pattern,1. Basic,,Lily Sugar'n Cream,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch",,Crochet Flowers The free version of this pattern comes with limited support. These links should give you the help you need. How to Read a Pattern Understanding Abbreviations Stitch Tutorials Pattern FAQs,https://easycrochet.com/so-simple-crochet-flower-pattern/
Patriotic Crochet Pillow Pattern,2. Easy,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,5.5 mm (I-9),Single Crochet,"Blue , Red , White",Blue,https://easycrochet.com/patriotic-crochet-pillow-pattern/
Bobble Crochet Hot Pad Pattern,2. Easy,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,3.75 mm (F-5),"Bobble , Single Crochet","Blue , Red",Blue,https://easycrochet.com/bobble-hot-pad-crochet-pattern/
Free Cozy Crochet Hat Pattern,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,3.75 mm (F-5),"Double Crochet , Single Crochet",Gray,Gray,https://easycrochet.com/free-cozy-crochet-hat-pattern/
Extra Long Summer Crochet Scarf Pattern,1. Basic,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,5 mm (H-8),Double Crochet,,Crochet Scarves,https://easycrochet.com/extra-long-summer-crochet-scarf-pattern/
Summer Bee Crochet Flower + Bookmark,2. Easy,Caron Yarn,Simply Soft,Weight 4 - Medium,6.5 mm (K-10.5),Half Double Crochet,Yellow,Yellow,https://easycrochet.com/summer-bee-crochet-flower-bookmark/
Crochet Blanket Stitch Pattern,2. Easy,"Caron Yarn , Red Heart","Red Heart Soft , Simply Soft",Weight 4 - Medium,5 mm (H-8),"Double Crochet , Single Crochet","Blue , Green , Orange , Yellow",Blue,https://easycrochet.com/crochet-blanket-stitch-pattern/
Modern Striped Dishcloth Pattern,1. Basic,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,5 mm (H-8),Single Crochet,"Green , Yellow",Green,https://easycrochet.com/modern-striped-dishcloth-pattern/
Free Chevron Crochet Blanket Pattern,3. Intermediate,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),Single Crochet,Neutral,Neutral,https://easycrochet.com/chevron-crochet-blanket-pattern/
Crochet Mini Bag Pattern,2. Easy,Red Heart,Red Heart Soft,Weight 4 - Medium,6 mm (J-10),Single Crochet,Blue,Blue,https://easycrochet.com/crochet-it-carry-it-mini-bag/
How to Change Colors in Crochet,1. Basic,Red Heart,Red Heart Soft,Weight 4 - Medium,,,,Crochet Tutorials The free version of this pattern comes with limited support. These links should give you the help you need. How to Read a Pattern Understanding Abbreviations Stitch Tutorials Pattern FAQs,https://easycrochet.com/learn-how-to-change-colors-in-crochet/
Free Dishcloth Crochet Patterns and Printable Tags,1. Basic,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,4 mm (G-6),"Half Double Crochet , Single Crochet",Neutral,Neutral,https://easycrochet.com/free-dishcloth-crochet-patterns-and-printable-tags/
Woodland Crochet Baby Blanket,1. Basic,Loops and Threads,Impeccable,Weight 4 - Medium,6 mm (J-10),"Half Double Crochet , Single Crochet","Brown , Gray , Green , Orange",Brown,https://easycrochet.com/woodland-inspired-crochet-blanket/
Crochet Beverage Cozy Pattern,2. Easy,Yarnspirations,Lily Sugar'n Cream,Weight 4 - Medium,6 mm (J-10),"Half Double Crochet , Slip Stitch","Blue , Yellow",Blue,https://easycrochet.com/crochet-a-beverage-cooler/
Easy Crochet Wave Stitch Tutorial and Blanket,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Single Crochet","Gray , Pink , Purple",Gray,https://easycrochet.com/crochet-wave-stitch-tutorial-and-blanket/
Double Crochet Cluster Blanket,3. Intermediate,Red Heart,Red Heart Soft,Weight 4 - Medium,6 mm (J-10),Double Crochet,"Blue , Orange",Blue,https://easycrochet.com/double-crochet-cluster-blanket/
How to Crochet a Single Crochet Blanket,1. Basic,Red Heart,Gumdrop,Weight 4 - Medium,4.5 mm (7),Single Crochet,"Pink , Purple",Pink,https://easycrochet.com/elises-single-crochet-blanket-pattern/
Striped Chunky Crochet Blanket Pattern,2. Easy,Red Heart,Red Heart Soft,Weight 4 - Medium,10 mm (N/P-15),Single Crochet,Green,Green,https://easycrochet.com/striped-chunky-crochet-blanket/
Color Blocked Stripes Blanket Free Crochet Pattern,1. Basic,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),Double Crochet,"Blue , Gray",Blue,https://easycrochet.com/simple-color-blocked-crochet-blanket/
Cozy Cottage Blanket,1. Basic,,,Weight 5 - Bulky,7 mm,Double Crochet,"Blue , Gray , Green , Pink , Yellow","Crochet Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/cozy-cottage-blanket/
Easy T-Shirt Yarn Crochet Easter Bunny Basket,2. Easy,,,Weight 5 - Bulky,10 mm (N/P-15),Single Crochet,,"Crochet Baskets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/easy-t-shirt-yarn-crochet-easter-bunny-basket/
Windowpane Chunky Cowl,2. Easy,Lion Brand,"Homespun , Wool-Ease Thick and Quick","Weight 5 - Bulky , Weight 6 - Super Bulky",8 mm (L-11),Double Crochet,"Green , Neutral",Green,https://easycrochet.com/partner/windowpane-chunky-cowl/
Hug Me Bear Children’s Hooded Sweater,2. Easy,,,Weight 5 - Bulky,6 mm (J-10),"Double Crochet , Double Crochet Increase","Brown , White","Baby Sweaters This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/hug-me-bear-childrens-hooded-sweater/
Kid’s Crochet Crown,2. Easy,,,Weight 5 - Bulky,6 mm (J-10),"Shell Stitch , Single Crochet",Yellow,"Crochet Baby Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/kids-crochet-crown/
The Banbury Drape Oversized Crochet Cardigan,2. Easy,Lion Brand,Feels Like Bliss,Weight 5 - Bulky,6 mm (J-10),Half Double Crochet,,Crochet Cardigans,https://easycrochet.com/partner/the-banbury-drape-oversized-crochet-cardigan/
Blue Lagoon Hat,2. Easy,Caron Yarn,,Weight 5 - Bulky,5 mm (H-8),Puff,"Blue , White",Baby Hats,https://easycrochet.com/partner/blue-lagoon-hat/
Cabled Crochet Cowl,2. Easy,Paintbox Yarn,Simply Chunky,Weight 5 - Bulky,"10 mm (N/P-15) , 9 mm (M/N-13)","Double Crochet , Single Crochet",Neutral,Neutral,https://easycrochet.com/partner/cabled-crochet-cowl/
Modwen Baby Blanket,2. Easy,Stylecraft,,Weight 5 - Bulky,9 mm (M/N-13),"Slip Stitch , Tunisian Simple Stitch","Blue , Neutral , Pink",Crochet Baby Blankets,https://easycrochet.com/partner/modwen-baby-blanket/
Amigurumi Spider,2. Easy,Bernat,Blanket Yarn,Weight 5 - Bulky,9 mm (M/N-13),Single Crochet,Purple,Purple,https://easycrochet.com/partner/amigurumi-spider/
Woven Lines Chunky Throw,2. Easy,Caron Yarn,,Weight 5 - Bulky,9 mm (M/N-13),"Double Crochet , Half Double Crochet","Blue , Green",Crochet Blankets,https://easycrochet.com/partner/woven-lines-chunky-throw/
Radley Tunisian Hat,3. Intermediate,,,Weight 5 - Bulky,"6 mm (J-10) , 6.5 mm (K-10.5)","Tunisian Knit Stitch , Tunisian Purl Stitch","Pink , Red","Crochet Hats This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/radley-tunisian-hat/
Honey Peaks Throw,2. Easy,Paintbox Yarn,Simply Chunky,Weight 5 - Bulky,7 mm,"Tunisian Purl Stitch , Tunisian Simple Stitch","Gray , Yellow",Gray,https://easycrochet.com/partner/honey-peaks-throw/
Chunky Infinity Scarf,2. Easy,Lion Brand,,Weight 5 - Bulky,6.5 mm (K-10.5),Double Crochet,"Green , Variegated , White",Crochet Infinity Scarves,https://easycrochet.com/partner/chunky-infinity-scarf/
Rose Frost Throw,2. Easy,Caron Yarn,,Weight 5 - Bulky,5 mm (H-8),"Bobble , Half Double Crochet",Pink,Crochet Blankets,https://easycrochet.com/partner/rose-frost-throw/
Dune Infinity Crochet Scarf,2. Easy,Lion Brand,Hue + Me,Weight 5 - Bulky,9 mm (M/N-13),"Double Crochet , Single Crochet , Slip Stitch","Pink , White",Pink,https://easycrochet.com/partner/dune-infinity-crochet-scarf/
Lilly Blanket,2. Easy,,,Weight 5 - Bulky,6.5 mm (K-10.5),Tunisian Simple Stitch,"Blue , Neutral","Crochet Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/lilly-blanket/
Striped Crochet Blanket,2. Easy,Lion Brand,Hue + Me,Weight 5 - Bulky,8 mm (L-11),"Moss / Linen , Single Crochet","Brown , Neutral , White",Brown,https://easycrochet.com/partner/striped-crochet-blanket/
Mini Crochet Pumpkin Pattern,2. Easy,Lion Brand,Hue + Me,Weight 5 - Bulky,6.5 mm (K-10.5),"Half Double Crochet , Half Double Crochet Back Loop , Slip Stitch","Red , White",Red,https://easycrochet.com/partner/mini-crochet-pumpkin-pattern/
How to Knit a Garter Stitch for Beginners,1. Basic,,,Weight 5 - Bulky Knit Needle : 10 mm Knit Stitch : Garter Stitch,,,,Knit Patterns The free version of this pattern comes with limited support. These links should give you the help you need. How to Read a Pattern Understanding Abbreviations Stitch Tutorials Pattern FAQs,https://easycrochet.com/how-to-knit-a-garter-stitch-for-beginners/
Textured Crochet Half Circle Rug,2. Easy,,,Weight 5 - Bulky,6 mm (J-10),,,"Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/textured-crochet-half-circle-rug/
Billow Blanket,2. Easy,WeCrochet,,Weight 5 - Bulky,5.5 mm (I-9),Half Double Crochet,,"Crochet Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/billow-blanket/
Colorful Feather Stripe Blanket,2. Easy,Caron Yarn,,Weight 5 - Bulky,6.5 mm (K-10.5),,,"Crochet Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/colorful-feather-stripe-blanket/
Crochet Rectangle Basket with Dividers made in Rounds,2. Easy,,,Weight 5 - Bulky,6 mm (J-10),Single Crochet,Yellow,"Crochet Baskets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-rectangle-basket-with-dividers-made-in-rounds/
Easy  Beginner Crochet Coaster Pattern,2. Easy,Bernat,Maker Home Dec,Weight 5 - Bulky,6 mm (J-10),"Half Double Crochet , Single Crochet , Slip Stitch","Neutral , White",Neutral,https://easycrochet.com/easy-beginner-friendly-coaster-pattern/
Crochet Spiral Hot Pads,1. Basic,,,Weight 5 - Bulky,8 mm (L-11),"Single Crochet , Slip Stitch",White,"Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-spiral-hot-pads/
Chunky Crochet Coasters,1. Basic,,,Weight 5 - Bulky,8 mm (L-11),"Single Crochet , Slip Stitch",Neutral,"Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/chunky-crochet-coasters/
Mini Fluffy Hot Water Bottle Cover,1. Basic,WeCrochet,,Weight 5 - Bulky,8 mm (L-11),"Half Double Crochet , Single Crochet",Neutral,Crochet Home DÃ©cor,https://easycrochet.com/partner/mini-fluffy-hot-water-bottle-cover/
How to Crochet a Magic Circle for Beginners (Magic ring),2. Easy,Bernat,Maker Home Dec,Weight 5 - Bulky,,,,Crochet Tutorials The free version of this pattern comes with limited support. These links should give you the help you need. How to Read a Pattern Understanding Abbreviations Stitch Tutorials Pattern FAQs,https://easycrochet.com/magic-circle/
Classic Men’s Crochet Scarf,2. Easy,Lion Brand,Hue + Me,Weight 5 - Bulky,10 mm (N/P-15),Single Crochet,Green,Green,https://easycrochet.com/partner/classic-mens-crochet-scarf/
Classic Ribbed Men’s Crochet Scarf,2. Easy,Lion Brand,Hue + Me,Weight 5 - Bulky,8 mm (L-11),"Half Double Crochet , Single Crochet",Green,Green,https://easycrochet.com/partner/classic-ribbed-mens-crochet-scarf/
Chunky Stripe Cowl,1. Basic,,,Weight 5 - Bulky,8 mm (L-11),Slip Stitch,,"Crochet Cowls This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/chunky-stripe-cowl/
Marks In The Snow Throw,3. Intermediate,Stylecraft,Bellissima Chunky Yarn,Weight 5 - Bulky,6 mm (J-10),Double Crochet,Neutral,Neutral,https://easycrochet.com/partner/marks-in-the-snow-throw/
Modwen Cushion,2. Easy,,,Weight 5 - Bulky,6.5 mm (K-10.5),Tunisian Simple Stitch,"Blue , Pink , White","Crochet Pillows This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/modwen-cushion/
Mission Bell Wall Hanging,3. Intermediate,Lion Brand,Hometown USA,Weight 5 - Bulky,8 mm (L-11),Single Crochet,Neutral,Neutral,https://easycrochet.com/partner/mission-bell-wall-hanging/
Zohal Baby Blanket,2. Easy,Paintbox Yarn,Simply Chunky,Weight 5 - Bulky,6 mm (J-10),"Double Crochet , Single Crochet","Blue , Neutral , Orange",Blue,https://easycrochet.com/partner/zohal-baby-blanket/
Baby Eagle Plush Toy,2. Easy,Hobby Lobby,,Weight 5 - Bulky,4 mm (G-6),Single Crochet,Gray,Amigurumi,https://easycrochet.com/partner/baby-eagle-plush-toy/
WUA Simple Crochet Rectangle #5,2. Easy,Paintbox Yarn,Simply Chunky,Weight 5 - Bulky,5.5 mm (I-9),"Half Double Crochet , Single Crochet , Single Crochet Back Loop",Yellow,Yellow,https://easycrochet.com/wua-simple-crochet-rectangle-5/
WUA Puff Crochet Rectangle Pattern #4,2. Easy,Paintbox Yarn,Simply Chunky,Weight 5 - Bulky,5.5 mm (I-9),"Puff , Single Crochet",Gray,Gray,https://easycrochet.com/wua-puff-crochet-rectangle-pattern-4/
Warm Up America Alissa Crochet Rectangle Pattern #3,2. Easy,Paintbox Yarn,Simply Chunky,Weight 5 - Bulky,6 mm (J-10),"Double Crochet , Single Crochet",Orange,Orange,https://easycrochet.com/warm-up-america-alissa-crochet-rectangle-pattern-3/
Warm Up America Crochet Rectangle #2,3. Intermediate,Paintbox Yarn,Simply Chunky,Weight 5 - Bulky,5.5 mm (I-9),"Half Double Crochet , Half Double Crochet Back Loop",Blue,Blue,https://easycrochet.com/half-double-crochet-textured-rectangle/
Warm Up America Textured Crochet Rectangle #1,2. Easy,Paintbox Yarn,Simply Chunky,Weight 5 - Bulky,5.5 mm (I-9),"Half Double Crochet , Half Double Crochet Back Loop , Half Double Crochet Front Loop",Neutral,Neutral,https://easycrochet.com/warm-up-america-textured-rectangle/
Super Alexa Blanket,3. Intermediate,Paintbox Yarn,Simply Chunky,Weight 5 - Bulky,10 mm (N/P-15),Double Crochet,,Crochet Blankets,https://easycrochet.com/partner/super-alexa-blanket/
